"V1"
">Cluster 0"
"0	1231aa, >9734_length_1597_co... at 100.00%"
"1	1229aa, >12929_length_1231_c... at 100.00%"
"2	1040aa, >13427_length_1192_c... at 99.81%"
"3	1990aa, >7606_length_1990_co... at 100.00%"
"4	1571aa, >9895_length_1571_co... at 100.00%"
"5	7409aa, >1140_length_7870_co... at 100.00%"
"6	6130aa, >1768_length_6131_co... at 100.00%"
"7	5397aa, >2165_length_5416_co... at 100.00%"
"8	4040aa, >3186_length_4252_co... at 100.00%"
"9	4026aa, >3486_length_4027_co... at 100.00%"
"10	3504aa, >4255_length_3536_co... at 100.00%"
"11	3096aa, >4846_length_3242_co... at 100.00%"
"12	3068aa, >5137_length_3117_co... at 100.00%"
"13	3019aa, >5375_length_3021_co... at 100.00%"
"14	2788aa, >6016_length_2790_co... at 100.00%"
"15	2463aa, >7192_length_2465_co... at 99.96%"
"16	2341aa, >7739_length_2343_co... at 100.00%"
"17	2022aa, >9521_length_2025_co... at 99.95%"
"18	1970aa, >9883_length_1972_co... at 100.00%"
"19	1699aa, >12189_length_1701_c... at 100.00%"
"20	4073aa, >3429_length_4073_co... at 99.93%"
"21	1214aa, >19645_length_1214_c... at 100.00%"
"22	153762aa, >1_length_153765_cov... *"
"23	14562aa, >414_length_14622_co... at 98.04%"
"24	8821aa, >1052_length_8823_co... at 99.99%"
"25	8112aa, >1199_length_8116_co... at 99.98%"
"26	5599aa, >2256_length_5664_co... at 76.71%"
"27	5204aa, >2584_length_5204_co... at 99.98%"
"28	5110aa, >2679_length_5111_co... at 99.98%"
"29	4505aa, >3259_length_4506_co... at 99.98%"
"30	4206aa, >3540_length_4283_co... at 100.00%"
"31	3301aa, >5310_length_3302_co... at 100.00%"
"32	2833aa, >6694_length_2834_co... at 99.96%"
"33	2332aa, >8774_length_2346_co... at 100.00%"
"34	2094aa, >10072_length_2120_c... at 99.95%"
"35	1621aa, >14541_length_1622_c... at 100.00%"
"36	1417aa, >15427_length_1550_c... at 100.00%"
"37	1394aa, >17675_length_1397_c... at 100.00%"
"38	1483aa, >16357_length_1483_c... at 100.00%"
"39	1253aa, >20160_length_1253_c... at 100.00%"
"40	1120aa, >23082_length_1120_c... at 100.00%"
"41	12679aa, >606_length_12681_co... at 99.94%"
"42	11972aa, >630_length_12344_co... at 99.98%"
"43	6833aa, >1654_length_6838_co... at 99.99%"
"44	6601aa, >1742_length_6603_co... at 99.94%"
