"AMG.count","AMG.KO","AMG.KO.name","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K00012","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K00764","purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K00390","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K01784","galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K01854","glf; UDP-galactopyranose mutase [EC:5.4.99.9]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K01808","rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K22227","ahbD; heme synthase","VIBRANT_AMG_counts_ERR3015715.tsv"
"5","K00558","DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K00048","fucO; lactaldehyde reductase [EC:1.1.1.77]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K21064","ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K00864","glpK, GK; glycerol kinase [EC:2.7.1.30]","VIBRANT_AMG_counts_ERR3015715.tsv"
"1","K00820","glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]","VIBRANT_AMG_counts_ERR3015715.tsv"
"AMG count","AMG KO","AMG KO name","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00390","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00789","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]","VIBRANT_AMG_counts_ERR3015721.tsv"
"2","K00820","glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K01218","gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K01759","GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00952","nadM; nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K07260","vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K01491","folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K01442","E3.5.1.24; choloylglycine hydrolase [EC:3.5.1.24]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K12972","ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K06167","phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00012","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K21064","ycsE, yitU, ywtE; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00299","ssuE; FMN reductase [EC:1.5.1.38]","VIBRANT_AMG_counts_ERR3015721.tsv"
"4","K00558","DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00963","UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00763","pncB, NAPRT1; nicotinate phosphoribosyltransferase [EC:6.3.4.21]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K08281","pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00568","ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K00059","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K01950","E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K13522","K13522, nadM; bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]","VIBRANT_AMG_counts_ERR3015721.tsv"
"1","K01209","abfA; alpha-L-arabinofuranosidase [EC:3.2.1.55]","VIBRANT_AMG_counts_ERR3015721.tsv"
"2","K01432","AFMID; arylformamidase [EC:3.5.1.9]","VIBRANT_AMG_counts_ERR3015721.tsv"
"AMG count","AMG KO","AMG KO name","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K01755","argH, ASL; argininosuccinate lyase [EC:4.3.2.1]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K01442","E3.5.1.24; choloylglycine hydrolase [EC:3.5.1.24]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K00198","cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K01091","gph; phosphoglycolate phosphatase [EC:3.1.3.18]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K08281","pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K09883","cobT; cobaltochelatase CobT [EC:6.6.1.2]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K00957","cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]","VIBRANT_AMG_counts_ERR3015725.tsv"
"5","K00390","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K00789","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K13273","PMVK; phosphomevalonate kinase [EC:2.7.4.2]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K07258","dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K15634","gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]","VIBRANT_AMG_counts_ERR3015725.tsv"
"1","K06881","nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]","VIBRANT_AMG_counts_ERR3015725.tsv"
"6","K00558","DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]","VIBRANT_AMG_counts_ERR3015725.tsv"
"AMG count","AMG KO","AMG KO name","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K01256","pepN; aminopeptidase N [EC:3.4.11.2]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K00655","plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K00789","metK; S-adenosylmethionine synthetase [EC:2.5.1.6]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K09882","cobS; cobaltochelatase CobS [EC:6.6.1.2]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K01754","E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K01938","fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K09883","cobT; cobaltochelatase CobT [EC:6.6.1.2]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K00831","serC, PSAT1; phosphoserine aminotransferase [EC:2.6.1.52]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K01443","nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K00390","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K01886","QARS, glnS; glutaminyl-tRNA synthetase [EC:6.1.1.18]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K00790","murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]","VIBRANT_AMG_counts_ERR3015733.tsv"
"1","K01775","alr; alanine racemase [EC:5.1.1.1]","VIBRANT_AMG_counts_ERR3015733.tsv"
